Your Sex?,Your Matric (grade 12) Average/ GPA (in %),[Adjusted] What year were you in last year (2023) ?,Your 2023 academic year average/GPA in % (Ignore if you are 2024 1st year student),[Adjusted] Your Accommodation Status Last Year (2023),[Adjusted] Monthly Allowance in 2023,[Adjusted] Were you on scholarship/bursary in 2023?,[Adjusted] Additional amount of studying (in hrs) per week,[Adjusted] How often do you go out partying/socialising during the week? ,"[Adjusted] On a night out, how many alcoholic drinks do you consume?","[Adjusted] How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)",[Adjusted] How many modules have you failed thus far into your studies?,[Adjusted] Are you currently in a romantic relationship?,[Adjusted] Do your parents approve alcohol consumption?,[Adjusted] How strong is your relationship with your parent/s?,Arts & Social Sciences,Economic & Management Sciences,AgriSciences,Engineering,Science,Medicine and Health Services,Law,Education,Female (Dummy)
Female,76,1,72,0,0,0,8,1.5,8,3,0,1,1,0,1,0,0,0,0,0,0,0,1
Male,89,1,75,0,3,1,8,1.5,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0
Male,76,0,55,0,0,0,2,2,8,3,0,0,1,0,0,0,1,0,0,0,0,0,0
Male,89,1,84,0,2,0,2,3,8,2,0,1,1,0,0,0,0,1,0,0,0,0,0
Female,74,1,52,0,0,0,2,1.5,3,1,3,0,1,2,1,0,0,0,0,0,0,0,1
Male,80,1,54,0,1,0,8,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Female,85,1,75,0,1,0,2,3,2,2,0,1,1,0,1,0,0,0,0,0,0,0,1
Female,80,1,75,0,2,0,8,3,8,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Male,79,1,64,0,1,0,2,2,2,2,4,0,1,0,0,1,0,0,0,0,0,0,0
Female,72,1,76,0,2,0,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1
Female,87,0,75,0,0,0,8,1.5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
Male,74,0,65,0,1,0,1,4,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Male,69,1,55,0,2,0,3,1.5,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0
Male,79,1,54,1,1,0,3,2,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0
Male,80,1,62,0,0,1,8,1.5,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0
Female,83,1,55,0,0,0,1,1.5,2,2,4,0,1,0,0,0,0,0,0,0,1,0,1
Female,78,0,76,0,2,0,8,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,1
Male,74,1,65,0,2,0,2,2,8,2,2,0,1,0,1,0,0,0,0,0,0,0,0
Male,83,2,69,0,1,0,8,1.5,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Male,79,1,60,0,4,0,3,1.5,8,1,3,0,1,0,0,0,0,1,0,0,0,0,0
Female,83,1,55,1,1,0,8,1.5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
Female,79,0,74,0,2,0,2,3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Male,87,1,70,0,1,0,8,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Male,84,0,60,0,0,0,8,1.5,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Male,86,1,54,0,1,0,3,1,3,2,1,1,1,0,0,1,0,0,0,0,0,0,0
Female,80,1,75,0,2,0,8,1,2,0,1,1,1,0,0,0,0,0,1,0,0,0,1
Male,80,0,63,0,0,0,2,0,8,2,0,0,1,0,0,1,0,0,0,0,0,0,0
Male,78,1,73,0,1,0,3,2,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0
Male,73,0,57,0,1,0,3,1,8,2,3,1,1,1,0,1,0,0,0,0,0,0,0
Male,99,1,90,0,0,0,3,1.5,2,3,4,0,1,0,0,1,0,0,0,0,0,0,0
Female,82.6,1,75,0,0,0,8,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1
Female,78,0,78,0,4,0,1,3,3,2,0,1,1,1,0,1,0,0,0,0,0,0,1
Female,65,1,55,0,0,0,2,1,2,2,4,1,1,0,0,1,0,0,0,0,0,0,1
Male,84,1,70,0,1,0,1,1,8,4,0,1,1,0,0,1,0,0,0,0,0,0,0
Male,81,1,60,0,2,0,1,2,3,0,3,1,1,0,0,1,0,0,0,0,0,0,0
Male,76,0,61,0,1,0,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Male,76,1,63,0,0,0,8,0,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Female,88,0,60,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1
Male,75,1,57,0,4,0,3,1.5,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0
Male,84,0,74,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Male,98,0,89,0,0,1,1,1.5,8,0,4,1,0,3,0,0,0,1,0,0,0,0,0
Male,72,1,76,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Female,84,0,80,1,2,0,8,1.5,3,2,0,0,1,0,0,0,0,0,0,1,0,0,1
Male,85,1,66,0,0,1,8,1,8,4,0,1,1,2,0,1,0,0,0,0,0,0,0
Female,84,0,80,0,0,0,1,1.5,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Female,90,1,70,0,1,0,3,1.5,2,0,3,0,1,0,0,0,0,0,0,0,1,0,1
Female,72,2,65,0,2,0,2,2,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1
Female,78,0,75,0,0,0,3,3,2,2,0,0,1,1,0,0,0,0,1,0,0,0,1
Female,83,1,63,0,0,0,8,1.5,2,0,0,0,1,1,0,0,0,1,0,0,0,0,1
Female,85,0,80,0,0,0,8,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
Female,81,1,65,0,1,1,8,1.5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1
Female,84,0,75,0,0,0,8,1,2,3,0,1,1,0,0,0,0,0,1,0,0,0,1
Male,76,1,65,0,3,0,8,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Female,80,1,61,0,3,0,2,1.5,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1
Male,85,3,76,0,2,0,3,2,8,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Male,85,0,58,0,1,0,2,1.5,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0
Female,98.33,1,95.22,1,0,0,8,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
Female,70,0,60,0,2,0,3,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Male,75,1,65,0,2,0,8,1,3,0,2,1,1,0,0,1,0,0,0,0,0,0,0
Male,75,1,58,0,1,0,2,2,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Male,86,2,55,0,1,1,1,1,8,1,3,0,1,0,0,0,1,0,0,0,0,0,0
Female,80,2,71,0,4,0,3,1.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Female,75,2,60,0,1,0,8,1,8,0,0,1,1,0,1,0,0,0,0,0,0,0,1
Female,75,1,70,0,4,0,3,1,3,3,0,0,1,0,0,1,0,0,0,0,0,0,1
Female,80,1,60,0,0,0,8,1.5,3,0,1,1,1,0,0,1,0,0,0,0,0,0,1
Female,75,2,64,0,1,0,8,1.5,3,0,1,0,1,0,0,1,0,0,0,0,0,0,1
Female,85,2,84,1,1,1,8,2,3,0,0,1,1,0,0,0,0,0,1,0,0,0,1
Female,79,1,60,0,1,0,3,1,3,1,2,0,1,0,0,1,0,0,0,0,0,0,1
Male,,2,61,1,0,1,1,1.5,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Female,78,1,66,0,2,0,2,1,3,3,1,0,1,0,0,0,0,0,0,0,1,0,1
Male,65,0,65,0,0,0,2,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Female,82,1,53,0,0,0,3,1,3,2,4,0,1,0,0,0,0,1,0,0,0,0,1
Female,77,0,62,0,1,0,3,1.5,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Female,85,1,65,0,3,0,8,1,3,3,0,0,1,0,0,0,0,0,1,0,0,0,1
Female,81,2,62,0,4,0,3,1.5,3,1,1,1,1,1,1,0,0,0,0,0,0,0,1
Male,77,1,61,0,3,0,8,2,8,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Male,82,1,73,0,0,0,3,1.5,8,1,0,0,1,2,0,1,0,0,0,0,0,0,0
Female,73,2,60,0,1,0,2,3,3,1,0,0,1,1,0,1,0,0,0,0,0,0,1
Male,70,1,60,0,3,0,2,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Male,75,2,64,0,0,0,2,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0
Male,78,1,62,0,1,0,8,1,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Female,73,0,69,0,2,0,2,2,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1
Male,74,1,57,0,3,0,3,1.5,3,2,1,0,0,2,0,1,0,0,0,0,0,0,0
Male,77,0,60,0,0,0,3,1.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Male,80,1,60,0,4,0,0,1,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0
Female,78,0,66,0,0,1,2,1.5,3,2,3,1,0,0,0,1,0,0,0,0,0,0,1
Male,72,0,70,0,2,0,0,1,8,0,0,0,1,2,0,1,0,0,0,0,0,0,0
Male,80,2,65,0,4,0,3,1,2,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Male,75,1,72,0,1,0,0,1.5,8,4,0,0,1,1,0,1,0,0,0,0,0,0,0
Female,73,1,62,0,3,0,8,2,2,1,2,1,1,0,0,1,0,0,0,0,0,0,1
Female,86,2,76,0,0,0,3,1,3,1,0,0,1,1,0,0,0,0,1,0,0,0,1
Male,70,0,75,0,1,0,3,1.5,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Male,85,0,88,0,0,1,8,1.5,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0
Female,72,1,61,0,0,0,2,1.5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
Male,73,0,52,0,0,0,2,2,1,1,4,0,1,0,0,1,0,0,0,0,0,0,0
Female,76,4,79,0,4,0,3,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Male,76,0,56,1,0,0,8,1.5,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Male,82,1,70,1,0,0,1,2,8,4,0,1,1,1,1,0,0,0,0,0,0,0,0
Male,82,1,60,0,0,0,8,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Male,68,1,57,0,0,0,2,1,3,1,3,1,0,1,0,0,1,0,0,0,0,0,0
Female,84,0,64,0,0,0,1,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Male,79,1,60,0,4,0,8,1,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0
Male,89,1,74,1,0,0,2,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Female,82,1,73,0,1,0,2,1.5,3,0,0,1,1,1,0,0,0,0,0,0,0,1,1
Female,83,1,51,0,0,0,8,1.5,1,0,4,1,1,2,0,1,0,0,0,0,0,0,1
Male,83,1,60,1,0,0,3,3,3,4,1,0,1,0,0,0,0,1,0,0,0,0,0
Female,76,1,60,0,1,0,2,3,3,2,2,0,1,0,0,1,0,0,0,0,0,0,1
Female,76,0,54,0,1,0,1,4,3,4,3,1,1,0,1,0,0,0,0,0,0,0,1
Male,78,0,65,1,1,0,1,1.5,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0
Male,79,1,64,0,1,0,2,2,2,3,3,1,1,0,0,1,0,0,0,0,0,0,0
Female,72,0,61,0,0,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
Male,70,4,68,0,0,0,1,3,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0
Male,72,1,53,0,0,0,3,1.5,8,0,4,1,1,1,0,1,0,0,0,0,0,0,0
Female,76,0,50,1,3,0,0,1.5,3,0,4,1,1,0,0,1,0,0,0,0,0,0,1
Female,81,0,64,0,0,0,1,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1
Female,85,1,73,0,1,0,8,2,1,4,0,1,1,0,0,1,0,0,0,0,0,0,1
Female,85,1,73,0,1,0,8,2,1,4,0,1,1,0,0,1,0,0,0,0,0,0,1
Female,80,1,50,0,1,0,3,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1
Female,84,1,68,0,2,0,3,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1
Male,69,3,65,0,3,0,3,2,8,2,2,0,1,0,0,0,1,0,0,0,0,0,0
Male,76,3,71,0,1,0,1,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Female,78,1,65,0,1,0,3,1.5,2,2,1,0,1,1,1,0,0,0,0,0,0,0,1
Female,88,1,72,0,0,0,8,1,1,1,0,1,1,2,0,1,0,0,0,0,0,0,1
Female,92,2,70,0,3,0,2,4,8,2,0,0,1,0,0,0,0,0,1,0,0,0,1
Male,74,2,77,0,2,0,2,1,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0
Male,78,1,60,1,0,0,0,3,8,4,0,0,1,1,0,0,1,0,0,0,0,0,0
Female,90,0,75,1,0,1,2,1.5,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1
Male,84,1,68,1,0,0,1,4,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Male,80,3,63,0,1,0,8,1.5,3,0,2,1,1,0,0,1,0,0,0,0,0,0,0
Male,71,1,55,0,2,0,8,1.5,8,2,2,1,1,0,0,1,0,0,0,0,0,0,0
Female,80,1,73,0,3,0,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
Female,75,1,80,0,2,0,2,1.5,3,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Male,82,1,69,1,0,0,0,4,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Female,80,1,70,0,2,0,8,3,2,4,0,1,1,0,1,0,0,0,0,0,0,0,1
Male,73,1,73.5,0,0,0,8,1.5,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Male,63,0,68,0,0,0,2,3,8,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Female,79,0,77,0,3,1,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
Female,81,1,70,0,0,0,2,1.5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Female,82,1,60,0,3,0,8,2,1,0,4,0,1,0,0,1,0,0,0,0,0,0,1
Female,75,2,50,0,3,0,0,1.5,2,0,4,1,1,0,0,1,0,0,0,0,0,0,1
Female,,0,60,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1
Female,72,0,73,0,0,0,1,1.5,3,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Female,70,1,65,0,0,1,1,3,0,0,1,1,1,2,1,0,0,0,0,0,0,0,1
Female,86,1,75,0,0,0,3,1.5,2,0,0,0,1,2,0,0,0,0,1,0,0,0,1
Male,76,0,62,0,1,0,8,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0
Male,80,0,63,1,0,0,8,3,3,3,0,0,1,2,0,1,0,0,0,0,0,0,0
Male,76,2,62,0,1,0,8,1,3,1,3,1,0,2,0,0,0,0,1,0,0,0,0
Male,75,0,60,0,0,0,3,3,8,3,2,0,1,0,0,0,0,0,1,0,0,0,0
Female,83,2,55,0,1,0,8,1.5,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1
Female,70,0,65,0,1,0,8,2,3,1,0,1,1,0,0,1,0,0,0,0,0,0,1
Female,70,0,57,0,1,1,8,1.5,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1
Female,81,1,72,0,0,1,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Male,75,1,50,0,2,0,1,1.5,2,0,4,1,1,1,0,0,0,0,1,0,0,0,0
Male,83,1,51,0,0,0,3,1.5,2,0,4,1,1,0,0,1,0,0,0,0,0,0,0
Male,92,3,88,0,1,0,8,1.5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Male,72,0,54,0,2,0,1,3,8,4,3,0,1,0,0,1,0,0,0,0,0,0,0
Female,83,0,68,0,2,0,3,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
Male,79,1,59,1,0,0,8,1,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0
Male,67,0,65,0,1,0,1,2,3,2,0,0,1,1,0,1,0,0,0,0,0,0,0
Male,67,0,77,1,1,0,3,2,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Female,71,0,62,0,4,0,2,1.5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
Male,78,0,60,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Female,83,0,84,0,0,0,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,0,1
Female,76,0,70,0,4,0,2,1.5,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1
Female,75,0,60,0,4,0,0,3,8,1,0,1,1,0,0,1,0,0,0,0,0,0,1
Male,80,2,63,0,1,0,1,2,3,3,0,1,1,0,0,1,0,0,0,0,0,0,0
Female,78,0,80,1,2,0,1,2,3,1,0,1,1,1,0,1,0,0,0,0,0,0,1
